['0', '4', '10', '19', '26', '35', '36', '41', '59', '70', '79', '81', '84', '99', '101', '105', '118', '127', '129', '134', '138', '141']
['1', '13', '33', '55', '57', '60', '63', '64', '65', '68', '75', '76', '78', '82', '88', '92', '100', '132', '160', '175', '184', '200']
['2', '6', '11', '18', '27', '28', '44', '46', '47', '77', '83', '96', '135', '137', '156', '187', '225', '230', '241', '274', '279', '290']
['3', '23', '37', '38', '42', '48', '53', '72', '74', '90', '115', '117', '126', '136', '142', '147', '154', '155', '158', '166', '170', '174']
['5', '17', '20', '32', '61', '85', '95', '97', '102', '104', '119', '123', '146', '153', '162', '165', '167', '172', '179', '189', '220', '229']
['7', '24', '30', '31', '43', '45', '51', '56', '109', '111', '112', '120', '124', '128', '133', '144', '159', '164', '181', '211', '216', '218']
['8', '9', '14', '15', '22', '25', '29', '34', '39', '50', '52', '62', '66', '69', '73', '86', '89', '93', '94', '98', '103', '106']
['12', '16', '21', '40', '49', '54', '58', '67', '71', '80', '87', '91', '116', '125', '130', '139', '148', '163', '180', '182', '188', '190']
['465', '191', '199', '209', '213', '217', '221', '222', '223', '224', '227', '242', '247', '248', '253', '265', '292', '308', '311', '312', '314', '318']
['473', '324', '334', '347', '352', '362', '363', '370', '373', '380', '389', '400', '401', '418', '420', '430', '435', '442', '443', '445', '454', '463']
['467', '466', '468', '471', '477', '107', '108', '110', '113', '114', '121', '122', '131', '140', '143', '145', '150', '152', '157', '171', '183', '192']
['481', '195', '198', '201', '210', '215', '228', '251', '255', '258', '262', '263', '273', '278', '280', '284', '286', '289', '297', '300', '305', '322']
['472', '325', '331', '336', '340', '346', '348', '365', '368', '371', '376', '386', '388', '392', '395', '402', '414', '415', '423', '424', '425', '427']
['452', '438', '457', '219', '235', '239', '243', '256', '257', '259', '269', '271', '294', '302', '303', '327', '332', '338', '339', '343', '355', '377']
['482', '379', '387', '393', '406', '421', '428', '434', '439', '453', '462', '231', '236', '244', '250', '254', '261', '270', '298', '304', '307', '310']
['470', '313', '323', '333', '341', '344', '349', '350', '364', '378', '382', '403', '404', '410', '416', '422', '431', '436', '441', '460', '461', '178']
['475', '185', '186', '193', '196', '197', '208', '212', '246', '249', '252', '267', '272', '275', '283', '287', '288', '296', '316', '320', '321', '326']
['479', '335', '351', '354', '357', '361', '369', '383', '391', '394', '407', '411', '433', '444', '446', '448', '451', '455', '464', '315', '329', '345']
['480', '358', '385', '390', '396', '419', '429', '456', '459', '469', '474', '203', '204', '206', '207', '226', '232', '233', '234', '260', '264', '276']
['483', '295', '301', '319', '328', '356', '367', '397', '398', '408', '409', '412', '458', '149', '151', '161', '168', '169', '173', '176', '177', '194']
['478', '202', '205', '214', '237', '238', '240', '245', '266', '268', '277', '281', '282', '285', '291', '293', '299', '306', '309', '317', '330', '337']
['476', '342', '353', '359', '360', '366', '372', '374', '375', '381', '384', '399', '405', '413', '417', '426', '432', '437', '440', '447', '449', '450']
