['75', '85', '86', '88', '119', '120', '159', '190', '197', '219']
['1', '33', '42', '72', '81', '104', '116', '117', '136', '145']
['2', '12', '20', '24', '60', '66', '68', '70', '98', '114']
['36', '53', '170', '184', '163', '14', '105', '206', '218', '232']
['4', '46', '50', '115', '123', '168', '182', '196', '225', '239']
['5', '13', '15', '19', '21', '23', '34', '43', '49', '56']
['31', '83', '94', '100', '101', '129', '152', '243', '63', '90']
['7', '37', '51', '69', '108', '158', '173', '178', '221', '109']
['61', '87', '130', '193', '202', '220', '244', '185', '188', '229']
['11', '44', '62', '71', '93', '102', '140', '143', '150', '162']
['18', '32', '106', '141', '187', '189', '198', '211', '217', '111']
['39', '48', '55', '76', '91', '131', '179', '209', '96', '236']
['28', '45', '59', '78', '127', '135', '138', '161', '215', '237']
['29', '79', '95', '139', '147', '192', '200', '203', '204', '223']
['228', '169', '73', '186', '222', '65', '25', '144', '164', '167']
['180', '216', '103', '110', '126', '199', '74', '134', '227', '246']
['9', '231', '30', '107', '156', '47', '118', '122', '171', '205']
['230', '210', '238', '27', '54', '113', '157', '181', '99', '137']
['67', '191', '80', '165', '249', '6', '17', '38', '64', '58']
['240', '89', '132', '142', '146', '172', '175', '183', '208', '3']
['234', '84', '92', '207', '151', '245', '22', '154', '112', '121']
['97', '125', '149', '166', '177', '194', '201', '224', '226', '148']
['247', '155', '160', '174', '195', '212', '213', '214', '235', '233']
['241', '248', '153', '26', '52', '57', '8', '77', '133', '82']
['124', '10', '35', '40', '16', '0', '41', '176', '242', '128']
