['1', '5', '6', '21', '41', '42', '48', '49', '56', '61']
['4', '18', '32', '35', '38', '119', '175', '181', '187', '197']
['9', '17', '28', '55', '58', '64', '67', '68', '74', '89']
['11', '12', '15', '23', '24', '26', '27', '29', '52', '63']
['14', '16', '19', '20', '25', '39', '40', '46', '51', '62']
['22', '65', '69', '70', '72', '75', '78', '79', '81', '86']
['144', '87', '88', '94', '96', '98', '104', '106', '108', '109']
['261', '112', '114', '115', '116', '118', '124', '132', '135', '136']
['455', '137', '138', '139', '149', '150', '155', '157', '164', '167']
['484', '172', '174', '179', '186', '191', '192', '193', '201', '202']
['31', '203', '204', '210', '214', '232', '238', '239', '242', '243']
['177', '246', '259', '266', '268', '269', '277', '281', '283', '293']
['313', '301', '303', '332', '341', '350', '351', '354', '356', '361']
['457', '375', '379', '386', '395', '398', '403', '406', '409', '414']
['10', '418', '426', '436', '443', '447', '450', '456', '458', '461']
['53', '463', '467', '468', '472', '473', '474', '479', '490', '494']
['235', '73', '100', '107', '117', '121', '122', '128', '130', '133']
['330', '153', '158', '165', '168', '171', '205', '206', '207', '216']
['459', '225', '230', '231', '236', '250', '264', '272', '282', '285']
['37', '286', '287', '288', '289', '290', '294', '300', '307', '331']
['123', '346', '355', '357', '369', '372', '378', '384', '392', '397']
['302', '401', '402', '407', '410', '412', '424', '433', '434', '435']
['352', '437', '438', '439', '440', '451', '460', '471', '475', '476']
['469', '478', '480', '492', '495', '497', '47', '82', '103', '90']
['44', '110', '127', '142', '143', '145', '147', '151', '152', '154']
['141', '163', '166', '170', '173', '176', '178', '182', '183', '184']
['321', '185', '188', '189', '190', '195', '198', '208', '215', '217']
['359', '220', '221', '224', '234', '237', '249', '251', '253', '254']
['482', '256', '257', '265', '273', '280', '291', '296', '298', '306']
['60', '310', '314', '320', '322', '328', '333', '334', '338', '339']
['196', '342', '343', '348', '353', '363', '374', '376', '380', '381']
['431', '390', '391', '394', '396', '399', '400', '408', '417', '419']
['405', '422', '423', '427', '430', '441', '442', '448', '449', '462']
['486', '466', '477', '481', '483', '488', '496', '498', '499', '13']
['76', '57', '71', '80', '85', '105', '125', '161', '180', '218']
['258', '241', '252', '212', '219', '226', '227', '228', '229', '233']
['432', '267', '274', '275', '292', '297', '311', '316', '317', '318']
['500', '326', '327', '340', '404', '415', '416', '454', '66', '77']
['489', '83', '84', '91', '92', '95', '99', '101', '102', '111']
['345', '120', '131', '134', '140', '146', '148', '156', '159', '169']
['446', '194', '199', '211', '223', '240', '244', '245', '263', '270']
['464', '271', '276', '284', '295', '305', '308', '309', '312', '319']
['54', '323', '324', '325', '329', '335', '336', '337', '344', '347']
['491', '358', '364', '365', '366', '367', '368', '373', '377', '382']
['393', '383', '385', '388', '389', '413', '420', '421', '428', '429']
['279', '444', '445', '452', '453', '465', '470', '485', '487', '2']
['213', '3', '7', '8', '30', '33', '34', '36', '43', '45']
['260', '50', '59', '93', '97', '113', '126', '129', '160', '162']
['493', '200', '209', '222', '247', '248', '255', '262', '278', '299']
['411', '304', '315', '349', '360', '362', '370', '371', '387', '425']
