['345', '474', '464', '194', '234', '242', '380', '313', '309', '63']
['147', '127', '425', '229', '80', '310', '344', '256', '160', '120']
['177', '28', '178', '24', '370', '306', '372', '13', '263', '486']
['411', '181', '174', '104', '128', '119', '252', '53', '213', '90']
['312', '410', '431', '392', '378', '254', '416', '216', '17', '184']
['385', '403', '99', '465', '204', '324', '14', '285', '199', '371']
['461', '301', '396', '382', '379', '106', '250', '114', '118', '203']
['462', '366', '484', '460', '470', '107', '255', '153', '328', '394']
['5', '27', '62', '463', '283', '111', '294', '68', '133', '58']
['376', '288', '40', '364', '356', '188', '479', '447', '191', '402']
['300', '146', '9', '166', '165', '35', '415', '439', '214', '432']
['237', '407', '129', '123', '0', '361', '48', '424', '455', '297']
['167', '26', '451', '169', '98', '44', '332', '405', '187', '358']
['60', '286', '122', '398', '20', '401', '140', '421', '185', '171']
['373', '367', '251', '454', '91', '145', '284', '152', '494', '67']
['235', '423', '210', '52', '141', '315', '96', '475', '7', '387']
['218', '413', '228', '440', '195', '238', '209', '275', '422', '8']
['253', '316', '295', '477', '281', '408', '304', '452', '131', '342']
['390', '135', '126', '441', '488', '259', '374', '45', '445', '317']
['453', '347', '232', '76', '154', '225', '189', '426', '18', '15']
['305', '271', '134', '1', '103', '116', '85', '438', '82', '143']
['456', '355', '93', '180', '164', '170', '418', '202', '33', '490']
['157', '485', '75', '450', '125', '280', '412', '207', '341', '179']
['296', '239', '375', '132', '32', '21', '186', '121', '289', '384']
['49', '383', '472', '168', '208', '86', '136', '348', '448', '359']
['260', '150', '434', '159', '258', '404', '196', '323', '302', '393']
['230', '192', '335', '473', '113', '176', '430', '350', '183', '292']
['4', '417', '73', '457', '343', '162', '307', '395', '446', '47']
['246', '487', '399', '386', '37', '224', '429', '437', '321', '149']
['360', '101', '78', '291', '329', '266', '420', '241', '325', '29']
['89', '81', '42', '459', '468', '172', '352', '190', '278', '476']
['458', '377', '436', '43', '57', '368', '497', '270', '105', '346']
['290', '496', '226', '163', '151', '482', '66', '25', '219', '95']
['298', '308', '223', '110', '117', '59', '65', '198', '2', '61']
['388', '71', '56', '221', '69', '97', '142', '261', '443', '489']
['23', '161', '64', '19', '108', '353', '41', '444', '293', '499']
['16', '351', '336', '102', '79', '220', '314', '442', '327', '156']
['326', '217', '264', '34', '414', '466', '138', '495', '483', '274']
['12', '227', '115', '36', '354', '491', '205', '158', '148', '362']
['92', '94', '215', '109', '231', '331', '22', '87', '144', '365']
['51', '273', '319', '182', '493', '3', '400', '419', '222', '391']
['277', '349', '84', '124', '10', '320', '469', '287', '428', '282']
['299', '236', '11', '478', '322', '200', '112', '257', '247', '427']
['70', '449', '243', '269', '311', '334', '130', '72', '333', '481']
['249', '330', '318', '471', '173', '211', '39', '30', '54', '406']
['77', '363', '338', '240', '435', '381', '248', '74', '262', '276']
['279', '268', '139', '83', '389', '409', '197', '245', '492', '46']
['206', '233', '272', '433', '498', '467', '6', '175', '369', '31']
['137', '337', '397', '201', '303', '357', '340', '339', '480', '193']
['212', '155', '100', '265', '267', '38', '88', '244', '50', '55']
