['0', '3', '7', '14', '16', '17', '22', '24', '28', '29']
['1', '2', '19', '26', '27', '44', '51', '52', '69', '76']
['4', '10', '18', '31', '35', '36', '37', '39', '43', '53']
['5', '30', '32', '55', '58', '80', '82', '105', '130', '155']
['6', '8', '9', '15', '25', '34', '40', '47', '50', '59']
['11', '12', '20', '21', '45', '56', '72', '81', '111', '120']
['13', '23', '38', '48', '63', '73', '74', '88', '113', '117']
['46', '96', '104', '106', '142', '146', '179', '197', '123', '138']
['233', '148', '163', '173', '188', '198', '213', '223', '127', '136']
['221', '141', '145', '174', '186', '194', '212', '65', '70', '71']
['238', '75', '84', '89', '90', '95', '103', '109', '112', '114']
['222', '115', '121', '122', '128', '129', '134', '140', '153', '159']
['247', '164', '165', '171', '172', '175', '184', '189', '190', '195']
['205', '196', '200', '203', '206', '209', '215', '225', '234', '167']
['243', '180', '183', '60', '61', '62', '68', '78', '85', '87']
['241', '93', '97', '98', '99', '118', '124', '131', '135', '137']
['239', '143', '150', '156', '160', '161', '162', '168', '170', '185']
['246', '187', '193', '201', '210', '211', '218', '231', '235', '236']
['248', '237', '77', '79', '83', '94', '101', '102', '108', '119']
['240', '125', '132', '144', '147', '151', '152', '154', '169', '176']
['249', '177', '178', '202', '219', '226', '227', '229', '33', '41']
['230', '42', '49', '54', '57', '64', '66', '67', '86', '91']
['245', '92', '100', '107', '110', '116', '126', '133', '139', '149']
['244', '157', '158', '166', '181', '182', '191', '192', '199', '204']
['242', '207', '208', '214', '216', '217', '220', '224', '228', '232']
