['1', '77', '88', '93', '120', '122', '143', '144', '181', '202']
['2', '28', '71', '103', '135', '159', '166', '184', '192', '203']
['3', '8', '25', '36', '42', '43', '45', '79', '136', '157']
['4', '17', '21', '30', '37', '84', '95', '102', '110', '125']
['5', '7', '20', '22', '23', '129', '131', '138', '142', '149']
['6', '11', '13', '18', '35', '51', '83', '104', '108', '116']
['9', '72', '75', '76', '105', '111', '128', '155', '171', '243']
['10', '14', '29', '31', '39', '40', '46', '80', '92', '114']
['15', '50', '55', '69', '73', '99', '145', '174', '183', '208']
['16', '26', '27', '62', '78', '123', '127', '133', '137', '212']
['19', '44', '96', '98', '126', '134', '163', '173', '193', '258']
['24', '48', '60', '109', '117', '124', '139', '209', '214', '233']
['32', '12', '38', '41', '53', '57', '63', '64', '66', '82']
['49', '67', '250', '85', '87', '90', '91', '100', '106', '112']
['52', '113', '115', '119', '130', '132', '147', '152', '154', '162']
['54', '58', '68', '94', '101', '167', '180', '185', '206', '207']
['56', '74', '107', '200', '297', '169', '177', '179', '195', '198']
['59', '86', '201', '211', '227', '230', '231', '232', '238', '239']
['61', '65', '246', '255', '256', '260', '263', '271', '272', '274']
['70', '81', '148', '273', '292', '296', '242', '261', '279', '299']
['97', '118', '222', '251', '290', '34', '47', '213', '268', '121']
['151', '186', '158', '197', '204', '210', '217', '218', '247', '249']
['165', '196', '262', '266', '283', '284', '244', '257', '270', '286']
['264', '278', '188', '33', '89', '141', '153', '156', '240', '282']
['189', '287', '150', '160', '164', '170', '172', '178', '182', '215']
['194', '281', '221', '224', '235', '236', '237', '245', '277', '191']
['275', '219', '252', '288', '140', '146', '175', '205', '226', '234']
['276', '248', '291', '295', '168', '176', '187', '190', '199', '225']
['293', '241', '254', '269', '223', '228', '253', '265', '267', '161']
['298', '216', '220', '229', '259', '280', '285', '289', '294', '300']
