['0', '4', '8', '10', '11', '13', '19', '24', '33', '38', '41', '42', '43', '48', '50', '54', '61', '63', '80', '81', '94', '100', '104', '106', '107']
['1', '20', '26', '28', '30', '32', '57', '67', '70', '76', '83', '92', '99', '102', '108', '110', '112', '123', '135', '139', '143', '149', '150', '151', '155']
['2', '3', '7', '12', '37', '44', '46', '47', '49', '56', '58', '59', '64', '71', '72', '74', '78', '84', '89', '91', '98', '101', '103', '109', '125']
['5', '9', '31', '34', '39', '40', '51', '52', '62', '68', '69', '75', '90', '95', '128', '132', '141', '147', '148', '159', '162', '163', '168', '169', '176']
['6', '14', '16', '17', '18', '22', '23', '35', '65', '66', '73', '77', '85', '87', '88', '93', '96', '97', '105', '117', '118', '120', '122', '124', '129']
['15', '21', '25', '27', '29', '36', '45', '53', '55', '60', '79', '82', '86', '111', '113', '114', '119', '130', '136', '137', '138', '140', '144', '145', '181']
['488', '183', '184', '187', '194', '203', '204', '205', '208', '211', '212', '218', '226', '228', '229', '231', '233', '238', '248', '250', '252', '254', '256', '264', '265']
['485', '270', '271', '273', '274', '275', '277', '280', '283', '288', '303', '310', '314', '341', '343', '349', '359', '375', '379', '383', '387', '389', '397', '404', '406']
['494', '408', '414', '420', '421', '425', '435', '436', '437', '440', '445', '447', '448', '450', '453', '454', '463', '467', '470', '476', '477', '492', '134', '146', '152']
['487', '172', '174', '177', '180', '195', '210', '214', '234', '235', '243', '244', '246', '259', '262', '281', '285', '296', '298', '302', '307', '315', '321', '323', '333']
['496', '338', '342', '344', '347', '350', '352', '365', '368', '376', '378', '400', '403', '407', '409', '410', '411', '412', '418', '422', '433', '442', '456', '460', '475']
['483', '480', '188', '190', '196', '200', '219', '224', '237', '241', '245', '247', '255', '258', '263', '267', '269', '282', '292', '294', '299', '300', '301', '316', '318']
['489', '334', '336', '337', '367', '370', '374', '377', '380', '381', '390', '393', '394', '399', '405', '416', '427', '431', '449', '451', '459', '469', '471', '481', '482']
['490', '484', '126', '153', '156', '160', '165', '166', '175', '179', '182', '189', '193', '197', '206', '213', '221', '222', '227', '230', '240', '242', '249', '253', '266']
['497', '272', '276', '279', '286', '289', '290', '291', '295', '305', '311', '313', '319', '320', '326', '328', '331', '335', '339', '340', '348', '351', '356', '358', '372']
['491', '385', '388', '395', '398', '402', '413', '415', '426', '428', '432', '434', '438', '439', '457', '462', '464', '466', '468', '158', '164', '167', '173', '185', '186']
['499', '191', '192', '198', '199', '201', '202', '209', '215', '216', '217', '232', '257', '261', '268', '293', '308', '324', '327', '329', '330', '332', '345', '346', '353']
['495', '355', '357', '361', '364', '366', '369', '371', '373', '384', '401', '417', '419', '423', '424', '429', '430', '443', '444', '452', '458', '486', '115', '116', '121']
['498', '127', '131', '133', '142', '154', '157', '161', '170', '171', '178', '207', '220', '223', '225', '236', '239', '251', '260', '278', '284', '287', '297', '304', '306']
['493', '309', '312', '317', '322', '325', '354', '360', '362', '363', '382', '386', '391', '392', '396', '441', '446', '455', '461', '465', '472', '473', '474', '478', '479']
