['0', '12', '21', '27', '29', '36', '41', '54', '59', '67', '71', '87', '97', '115', '131', '139', '168', '195', '222', '248', '254', '256', '261', '270', '281']
['1', '5', '6', '10', '11', '13', '14', '19', '22', '25', '28', '42', '45', '50', '56', '62', '64', '65', '72', '73', '75', '85', '90', '98', '101']
['2', '3', '17', '35', '57', '60', '61', '76', '79', '81', '91', '96', '102', '104', '107', '117', '119', '123', '129', '132', '143', '146', '147', '155', '162']
['4', '15', '23', '33', '37', '40', '46', '55', '63', '68', '74', '80', '82', '89', '99', '103', '106', '114', '118', '126', '128', '133', '136', '137', '144']
['7', '9', '16', '20', '34', '38', '44', '48', '49', '51', '52', '58', '66', '70', '83', '84', '92', '100', '105', '109', '110', '121', '122', '124', '125']
['8', '18', '24', '26', '30', '31', '32', '39', '43', '47', '53', '69', '77', '78', '86', '88', '93', '94', '95', '108', '112', '120', '134', '140', '142']
['391', '148', '151', '167', '171', '180', '182', '188', '189', '190', '205', '215', '218', '237', '245', '253', '266', '269', '273', '276', '284', '291', '304', '307', '317']
['383', '319', '321', '325', '335', '345', '351', '352', '365', '367', '368', '374', '375', '377', '379', '381', '384', '385', '392', '396', '397', '127', '130', '160', '166']
['387', '172', '178', '179', '185', '186', '196', '200', '202', '211', '213', '216', '223', '226', '228', '229', '235', '238', '241', '244', '258', '262', '263', '271', '280']
['382', '286', '288', '298', '301', '306', '311', '314', '323', '324', '328', '341', '342', '349', '356', '361', '362', '386', '389', '145', '152', '161', '164', '165', '169']
['398', '175', '176', '177', '183', '184', '203', '207', '210', '212', '217', '220', '221', '233', '234', '247', '251', '252', '260', '265', '267', '268', '272', '274', '277']
['399', '283', '285', '302', '310', '312', '315', '320', '327', '331', '337', '339', '343', '354', '363', '364', '370', '372', '376', '390', '163', '170', '173', '174', '181']
['393', '191', '193', '194', '197', '198', '199', '204', '206', '219', '224', '230', '232', '236', '239', '243', '246', '257', '264', '275', '279', '290', '292', '293', '296']
['388', '300', '309', '313', '316', '322', '329', '333', '344', '347', '350', '353', '355', '357', '359', '373', '111', '113', '116', '135', '138', '141', '149', '150', '153']
['394', '154', '156', '157', '158', '159', '187', '192', '201', '208', '209', '214', '225', '227', '231', '240', '242', '249', '250', '255', '259', '278', '282', '287', '295']
['395', '297', '299', '305', '308', '330', '332', '334', '338', '346', '358', '360', '369', '371', '378', '380', '289', '294', '303', '318', '326', '336', '340', '348', '366']
