['0', '173', '209', '418', '492']
['1', '112', '417', '424', '455']
['2', '101', '155', '227', '280']
['4', '13', '63', '92', '389']
['5', '3', '6', '7', '9']
['8', '134', '281', '395', '469']
['10', '99', '121', '217', '292']
['11', '37', '60', '164', '332']
['14', '42', '96', '203', '310']
['15', '54', '426', '471', '476']
['16', '33', '205', '282', '454']
['17', '43', '97', '132', '243']
['18', '12', '21', '22', '23']
['19', '116', '252', '298', '361']
['20', '293', '356', '401', '457']
['25', '369', '407', '435', '474']
['26', '75', '81', '85', '213']
['27', '44', '46', '303', '315']
['28', '90', '127', '286', '485']
['29', '24', '34', '35', '38']
['30', '214', '329', '489', '491']
['31', '103', '326', '397', '496']
['32', '50', '53', '279', '402']
['36', '266', '324', '405', '445']
['39', '66', '131', '157', '486']
['40', '73', '133', '140', '357']
['41', '65', '269', '339', '376']
['47', '45', '48', '49', '52']
['51', '146', '218', '257', '458']
['56', '55', '62', '64', '68']
['57', '226', '245', '336', '468']
['58', '177', '185', '273', '327']
['59', '153', '289', '314', '350']
['61', '167', '317', '441', '449']
['67', '368', '382', '412', '438']
['70', '69', '74', '76', '77']
['71', '89', '181', '219', '472']
['72', '150', '387', '413', '448']
['79', '78', '82', '84', '98']
['80', '204', '344', '409', '461']
['83', '176', '191', '351', '425']
['86', '189', '291', '484', '495']
['87', '198', '285', '306', '459']
['88', '244', '254', '276', '348']
['91', '229', '302', '316', '394']
['93', '100', '288', '337', '488']
['94', '124', '414', '430', '442']
['95', '136', '236', '370', '422']
['102', '125', '335', '451', '499']
['104', '139', '334', '386', '411']
['106', '105', '108', '111', '113']
['107', '248', '270', '355', '427']
['109', '147', '187', '237', '268']
['110', '201', '373', '410', '456']
['114', '118', '188', '377', '390']
['117', '163', '174', '232', '287']
['119', '115', '120', '123', '129']
['122', '169', '342', '349', '460']
['126', '168', '364', '473', '475']
['128', '143', '193', '267', '325']
['135', '130', '137', '141', '145']
['138', '240', '242', '420', '440']
['142', '216', '263', '330', '372']
['144', '253', '321', '429', '431']
['148', '379', '404', '421', '464']
['151', '149', '152', '154', '156']
['158', '159', '210', '391', '399']
['160', '294', '416', '470', '482']
['162', '166', '224', '284', '453']
['165', '251', '358', '423', '483']
['170', '161', '171', '178', '182']
['172', '220', '359', '388', '481']
['175', '179', '283', '308', '396']
['180', '265', '305', '313', '371']
['184', '183', '190', '194', '196']
['186', '195', '272', '277', '328']
['192', '343', '354', '393', '432']
['199', '197', '200', '202', '206']
['208', '207', '211', '212', '215']
['222', '221', '223', '225', '228']
['230', '295', '323', '381', '383']
['233', '231', '234', '235', '238']
['241', '239', '246', '247', '250']
['249', '428', '436', '452', '465']
['256', '255', '258', '259', '260']
['262', '261', '264', '271', '274']
['278', '275', '290', '296', '297']
['300', '299', '301', '304', '307']
['311', '309', '312', '318', '319']
['322', '320', '331', '333', '338']
['341', '340', '345', '346', '347']
['353', '352', '360', '362', '363']
['366', '365', '367', '374', '375']
['380', '378', '384', '385', '392']
['400', '398', '403', '406', '408']
['419', '415', '433', '434', '437']
['443', '439', '444', '446', '447']
['462', '450', '463', '466', '467']
['478', '477', '479', '480', '487']
['493', '490', '494', '497', '498']
