['0', '15', '21', '22', '24', '65', '75', '86', '107', '108', '116', '124', '156', '165', '191', '196', '200', '227', '229', '237', '294', '319', '331', '353', '355']
['1', '4', '18', '20', '23', '30', '36', '43', '47', '52', '55', '72', '76', '81', '83', '84', '89', '92', '101', '102', '126', '158', '164', '167', '170']
['2', '3', '12', '19', '46', '57', '68', '78', '79', '93', '96', '98', '118', '119', '132', '147', '148', '151', '171', '176', '177', '188', '193', '194', '202']
['5', '31', '33', '37', '50', '56', '70', '77', '87', '95', '105', '123', '130', '144', '145', '175', '181', '185', '198', '203', '205', '236', '239', '243', '263']
['6', '8', '40', '42', '48', '49', '59', '63', '69', '90', '91', '100', '110', '114', '139', '153', '161', '174', '186', '187', '199', '206', '212', '219', '222']
['7', '10', '14', '29', '38', '67', '82', '103', '111', '127', '131', '149', '155', '163', '183', '213', '214', '228', '238', '244', '249', '276', '287', '311', '324']
['9', '13', '17', '25', '54', '61', '66', '73', '80', '97', '104', '115', '122', '138', '142', '143', '150', '160', '207', '215', '232', '255', '259', '261', '274']
['11', '16', '26', '32', '44', '45', '51', '53', '58', '71', '74', '88', '99', '109', '112', '117', '125', '134', '135', '136', '137', '173', '178', '201', '208']
['27', '28', '34', '35', '39', '41', '60', '62', '64', '94', '106', '113', '120', '121', '129', '133', '140', '146', '152', '162', '245', '250', '251', '257', '266']
['85', '128', '141', '154', '157', '159', '166', '168', '169', '172', '182', '184', '211', '225', '231', '262', '268', '293', '302', '306', '320', '334', '338', '345', '354']
['192', '356', '375', '415', '417', '418', '435', '437', '438', '464', '487', '491', '273', '280', '289', '290', '299', '317', '325', '326', '330', '333', '368', '369', '396']
['479', '436', '448', '459', '210', '217', '221', '241', '247', '252', '254', '258', '281', '283', '286', '288', '310', '316', '318', '332', '343', '346', '351', '359', '362']
['499', '366', '388', '410', '431', '432', '444', '489', '494', '303', '308', '309', '314', '315', '323', '327', '352', '364', '367', '379', '387', '403', '424', '427', '428']
['498', '445', '458', '461', '462', '467', '469', '495', '363', '365', '381', '395', '411', '421', '426', '440', '446', '449', '454', '456', '471', '226', '230', '235', '248']
['493', '253', '260', '265', '267', '271', '278', '292', '296', '301', '304', '312', '313', '321', '336', '337', '339', '348', '360', '371', '373', '377', '378', '380', '382']
['496', '389', '391', '392', '393', '401', '402', '404', '405', '419', '422', '425', '463', '465', '466', '468', '480', '486', '264', '269', '270', '282', '284', '285', '291']
['490', '329', '341', '342', '357', '370', '386', '398', '409', '416', '451', '453', '460', '470', '476', '483', '488', '209', '216', '224', '233', '242', '256', '275', '297']
['482', '298', '307', '328', '340', '344', '385', '390', '394', '400', '420', '430', '434', '455', '457', '473', '474', '475', '179', '180', '189', '190', '195', '197', '204']
['492', '218', '220', '223', '234', '240', '246', '272', '277', '279', '295', '300', '305', '322', '335', '347', '349', '350', '358', '361', '372', '376', '397', '399', '406']
['497', '407', '412', '414', '442', '443', '452', '472', '477', '478', '374', '383', '384', '408', '413', '423', '429', '433', '439', '441', '447', '450', '481', '484', '485']
