['0', '14', '19', '59', '101', '127', '133', '147', '158', '168']
['3', '13', '24', '69', '73', '79', '90', '110', '112', '121']
['2', '53', '76', '82', '104', '114', '139', '143', '166', '169']
['5', '16', '18', '32', '41', '51', '57', '93', '99', '124']
['7', '8', '47', '71', '81', '85', '89', '94', '150', '175']
['9', '17', '27', '30', '115', '141', '152', '213', '259', '299']
['10', '97', '118', '181', '227', '251', '331', '335', '337', '366']
['11', '22', '35', '37', '63', '75', '111', '252', '291', '304']
['20', '40', '46', '56', '61', '86', '100', '102', '123', '126']
['21', '23', '43', '50', '55', '64', '65', '91', '96', '105']
['28', '31', '67', '106', '108', '125', '135', '142', '156', '164']
['384', '170', '197', '258', '285', '330', '340', '349', '352', '387']
['427', '404', '83', '178', '265', '136', '154', '155', '189', '196']
['49', '220', '263', '268', '271', '277', '314', '317', '328', '361']
['437', '415', '416', '470', '476', '107', '120', '190', '201', '270']
['495', '336', '401', '448', '461', '128', '138', '144', '165', '167']
['446', '204', '215', '217', '219', '221', '272', '274', '333', '362']
['374', '365', '367', '372', '389', '396', '405', '440', '457', '489']
['462', '68', '116', '162', '244', '250', '267', '269', '289', '381']
['497', '407', '465', '309', '315', '332', '334', '353', '375', '386']
['44', '390', '391', '408', '418', '419', '421', '425', '433', '441']
['464', '442', '460', '469', '498', '499', '12', '15', '33', '45']
['410', '72', '180', '191', '211', '212', '231', '232', '235', '254']
['458', '266', '278', '280', '288', '292', '298', '322', '327', '354']
['240', '392', '395', '453', '463', '466', '475', '477', '480', '481']
['493', '62', '70', '185', '193', '208', '283', '383', '471', '485']
['131', '488', '380', '400', '438', '443', '329', '179', '224', '230']
['406', '233', '234', '256', '260', '301', '339', '341', '346', '356']
['398', '393', '424', '426', '449', '452', '468', '492', '54', '66']
['36', '77', '109', '257', '402', '132', '140', '148', '183', '192']
['113', '262', '326', '338', '343', '351', '357', '370', '371', '385']
['188', '397', '450', '494', '39', '48', '177', '186', '187', '198']
['203', '222', '236', '238', '248', '253', '264', '275', '276', '290']
['434', '294', '306', '307', '310', '319', '324', '347', '379', '399']
['229', '403', '439', '444', '445', '447', '459', '474', '52', '58']
['305', '74', '161', '308', '414', '129', '130', '153', '160', '182']
['411', '184', '202', '209', '210', '228', '243', '249', '255', '261']
['282', '279', '287', '295', '297', '311', '312', '313', '318', '320']
['432', '321', '342', '360', '368', '369', '382', '388', '413', '417']
['478', '422', '423', '431', '454', '472', '487', '490', '4', '25']
['302', '38', '60', '87', '88', '98', '103', '146', '157', '159']
['214', '163', '206', '225', '247', '273', '281', '284', '286', '293']
['482', '323', '345', '350', '467', '491', '1', '42', '119', '134']
['412', '172', '199', '216', '373', '171', '173', '174', '176', '195']
['496', '200', '218', '226', '241', '245', '246', '316', '325', '348']
['484', '355', '363', '377', '378', '394', '409', '420', '429', '430']
['435', '473', '479', '6', '26', '29', '78', '80', '84', '117']
['486', '122', '137', '145', '151', '194', '205', '207', '237', '242']
['344', '296', '300', '303', '358', '364', '376', '428', '436', '451']
['223', '455', '456', '483', '34', '92', '95', '149', '239', '359']
