['8', '0', '1', '2', '3', '4', '5', '6', '7', '9']
['10', '12', '15', '16', '191', '196', '241', '243', '245', '248']
['21', '22', '26', '28', '20', '23', '24', '25', '27', '400']
['30', '31', '32', '33', '34', '35', '36', '37', '38', '402']
['40', '41', '42', '43', '44', '46', '47', '48', '49', '45']
['480', '481', '484', '486', '485', '487', '488', '489', '52', '53']
['64', '91', '92', '95', '470', '471', '472', '473', '474', '475']
['70', '71', '72', '73', '74', '75', '76', '77', '78', '79']
['261', '264', '269', '211', '212', '213', '216', '217', '218', '219']
['250', '256', '102', '106', '107', '108', '251', '253', '254', '255']
['112', '300', '301', '302', '303', '304', '305', '306', '307', '308']
['140', '141', '142', '143', '144', '145', '146', '147', '148', '149']
['130', '131', '132', '133', '134', '135', '136', '137', '138', '403']
['311', '312', '314', '316', '310', '313', '315', '317', '318', '319']
['455', '172', '175', '177', '451', '452', '453', '454', '456', '458']
['180', '181', '182', '183', '184', '185', '186', '187', '188', '189']
['440', '441', '442', '443', '206', '444', '445', '447', '448', '449']
['220', '221', '222', '223', '224', '225', '226', '227', '228', '229']
['230', '231', '232', '233', '234', '235', '236', '237', '238', '239']
['491', '495', '271', '273', '275', '276', '490', '492', '493', '494']
['290', '291', '292', '293', '294', '295', '296', '298', '299', '297']
['347', '352', '340', '341', '342', '344', '345', '346', '348', '349']
['390', '391', '392', '393', '394', '395', '396', '397', '398', '404']
['401', '420', '421', '422', '423', '424', '426', '427', '428', '429']
['464', '460', '462', '465', '466', '461', '463', '467', '468', '405']
['469', '406', '407', '408', '409', '350', '351', '353', '354', '355']
['425', '356', '357', '358', '359', '431', '436', '438', '430', '432']
['399', '433', '434', '435', '437', '496', '497', '498', '499', '270']
['343', '272', '274', '277', '278', '361', '367', '368', '360', '362']
['439', '363', '364', '365', '366', '280', '281', '282', '283', '284']
['279', '285', '286', '287', '288', '201', '202', '203', '204', '205']
['369', '207', '208', '209', '446', '322', '320', '321', '323', '324']
['289', '325', '326', '327', '328', '170', '171', '173', '174', '176']
['200', '178', '179', '450', '457', '152', '157', '150', '151', '153']
['329', '154', '155', '156', '158', '411', '123', '127', '129', '410']
['459', '413', '416', '418', '120', '121', '122', '124', '125', '126']
['159', '128', '412', '415', '417', '419', '309', '330', '331', '332']
['139', '333', '334', '335', '336', '337', '338', '339', '110', '111']
['414', '113', '114', '115', '116', '117', '118', '257', '258', '259']
['119', '100', '101', '103', '104', '105', '109', '260', '262', '263']
['252', '265', '266', '267', '268', '81', '85', '210', '214', '215']
['89', '80', '82', '83', '84', '86', '87', '88', '380', '381']
['389', '382', '383', '384', '385', '386', '387', '388', '476', '477']
['93', '478', '479', '68', '90', '94', '96', '97', '98', '99']
['55', '60', '61', '62', '63', '66', '67', '65', '69', '54']
['169', '482', '483', '50', '51', '56', '57', '58', '59', '160']
['39', '161', '166', '167', '162', '163', '164', '165', '168', '11']
['29', '13', '14', '17', '18', '19', '190', '192', '193', '194']
['249', '195', '197', '198', '199', '240', '242', '244', '246', '247']
['372', '371', '370', '373', '374', '375', '376', '377', '378', '379']
