['0', '13', '17', '20', '25', '33', '55', '58', '60', '63', '76', '82', '90', '95', '98', '100', '122', '125', '127', '132', '148', '168']
['3', '12', '18', '27', '28', '32', '40', '43', '44', '45', '46', '47', '51', '81', '96', '106', '108', '126', '137', '152', '155', '172']
['2', '5', '7', '30', '31', '56', '57', '67', '74', '109', '111', '120', '133', '134', '139', '141', '144', '145', '156', '163', '164', '174']
['4', '10', '19', '21', '22', '23', '24', '35', '36', '54', '59', '64', '70', '72', '73', '78', '80', '84', '86', '92', '105', '107']
['8', '9', '14', '15', '29', '34', '39', '50', '62', '66', '71', '89', '94', '103', '110', '113', '121', '143', '150', '158', '160', '188']
['37', '38', '42', '48', '79', '87', '102', '147', '166', '170', '206', '211', '242', '287', '296', '347', '351', '375', '395', '401', '427', '429']
['49', '53', '61', '97', '104', '123', '128', '165', '167', '173', '191', '193', '202', '220', '223', '236', '244', '250', '295', '298', '308', '310']
['264', '313', '324', '333', '334', '341', '344', '349', '354', '357', '364', '369', '371', '382', '386', '396', '407', '422', '431', '435', '473', '483']
['153', '41', '85', '157', '159', '179', '231', '254', '325', '384', '389', '391', '403', '410', '461', '119', '440', '441', '444', '457', '460', '469']
['77', '472', '479', '194', '201', '210', '232', '240', '252', '253', '262', '270', '273', '278', '292', '309', '318', '319', '320', '331', '336', '340']
['183', '346', '348', '376', '383', '388', '404', '414', '415', '423', '426', '430', '463', '11', '16', '69', '136', '138', '192', '196', '263', '289']
['378', '317', '326', '114', '118', '129', '135', '140', '142', '146', '149', '151', '154', '169', '171', '217', '221', '230', '235', '246', '247', '277']
['470', '280', '285', '293', '306', '312', '330', '342', '359', '360', '366', '367', '372', '387', '393', '399', '402', '416', '432', '433', '447', '448']
['300', '449', '477', '99', '101', '161', '205', '214', '225', '237', '245', '257', '281', '337', '339', '362', '365', '374', '390', '405', '417', '437']
['370', '475', '112', '212', '178', '208', '213', '218', '224', '238', '239', '251', '286', '302', '305', '322', '327', '329', '338', '343', '345', '350']
['474', '361', '379', '400', '406', '428', '438', '439', '442', '443', '450', '453', '468', '26', '65', '117', '187', '249', '274', '413', '176', '177']
['316', '182', '185', '186', '195', '200', '215', '216', '219', '222', '226', '228', '241', '256', '258', '259', '268', '275', '276', '279', '283', '284']
['394', '288', '290', '291', '297', '299', '311', '328', '335', '355', '373', '377', '385', '397', '412', '419', '420', '424', '425', '452', '454', '456']
['381', '465', '480', '481', '1', '6', '83', '93', '184', '272', '282', '303', '321', '353', '368', '459', '462', '464', '467', '471', '88', '255']
['52', '175', '180', '190', '197', '198', '199', '203', '204', '207', '227', '234', '248', '261', '266', '267', '269', '271', '301', '304', '307', '314']
['91', '315', '323', '332', '352', '356', '358', '363', '392', '398', '409', '421', '436', '445', '446', '451', '458', '476', '68', '124', '131', '162']
['455', '181', '189', '229', '233', '243', '260', '265', '294', '380', '408', '411', '418', '434', '466', '478', '482', '75', '115', '116', '130', '209']
