['0', '30', '90', '120', '150', '180', '210', '240', '60', '270']
['181', '1', '61', '91', '121', '151', '211', '241', '271', '31']
['2', '32', '62', '92', '122', '152', '182', '212', '242', '272']
['3', '33', '63', '93', '123', '153', '183', '213', '243', '273']
['154', '184', '214', '244', '4', '34', '64', '94', '124', '274']
['5', '185', '215', '245', '275', '35', '65', '95', '125', '155']
['6', '36', '66', '96', '126', '156', '186', '216', '246', '276']
['7', '37', '67', '97', '127', '157', '187', '217', '247', '277']
['8', '38', '68', '98', '128', '158', '188', '218', '248', '278']
['9', '39', '69', '99', '129', '159', '189', '219', '249', '279']
['10', '40', '70', '100', '130', '160', '190', '220', '250', '280']
['11', '41', '71', '101', '131', '161', '191', '221', '251', '281']
['222', '252', '12', '42', '72', '102', '132', '162', '192', '282']
['13', '133', '163', '193', '223', '253', '43', '73', '103', '283']
['14', '44', '74', '104', '134', '164', '194', '224', '254', '284']
['15', '45', '75', '105', '135', '165', '195', '225', '255', '285']
['16', '46', '76', '106', '136', '166', '196', '226', '256', '286']
['17', '107', '137', '167', '197', '227', '257', '47', '77', '287']
['18', '48', '78', '108', '138', '168', '198', '228', '258', '288']
['19', '49', '79', '109', '139', '169', '199', '229', '259', '289']
['20', '50', '80', '110', '140', '170', '200', '290', '230', '260']
['21', '171', '201', '231', '261', '51', '81', '111', '141', '291']
['22', '52', '82', '112', '142', '172', '202', '232', '262', '292']
['23', '53', '233', '263', '293', '83', '113', '143', '173', '203']
['24', '54', '84', '114', '144', '174', '204', '234', '264', '294']
['25', '55', '85', '115', '145', '175', '205', '235', '265', '295']
['26', '146', '176', '206', '236', '266', '56', '86', '116', '296']
['57', '87', '117', '147', '177', '207', '237', '267', '27', '297']
['28', '58', '88', '118', '148', '178', '208', '238', '268', '298']
['29', '59', '89', '119', '149', '179', '209', '239', '269', '299']
